neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ACHCAP,ALGAE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHLIN,ALGAE,False,150700,,,Achnanthidium lineare W.Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHLIN1,ALGAE,True,145752,Achnanthidium linearioides,,Achnanthidium linearioides Lange-Bertalot,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium linearioides,,,,,,,
ACHNANTHACEAESP,ALGAE,True,121007,Achnanthaceae,Class,Achnanthaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthaceae,,,,,,,,,,,,,,,
ACHNANTHACEAESPP,ALGAE,True,121007,Achnanthaceae,Class,Achnanthaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthaceae,,,,,,,,,,,,,,,
ACHNANTHESSPP,ALGAE,True,127065,Achnanthes,,Achnanthes spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthaceae,,,,Achnanthes,,,,,,,,,,,
ACHNANTHIDFSP,ALGAE,True,124811,Achnanthidiaceae,Class,Achnanthidiaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,,,,,,,,,,,,
ACHNANTHIDFSPP,ALGAE,True,124811,Achnanthidiaceae,Class,Achnanthidiaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,,,,,,,,,,,,
ACHNANTHIDIUMSPP,ALGAE,True,127066,Achnanthidium,,Achnanthidium spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,,,,,,,,
ACHPUS,ALGAE,True,145753,Achnanthidium pusillum,,Achnanthidium pusillum (Grunow) Czarnecki,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium pusillum,,,,,,,
ACHROS,ALGAE,True,145754,Achnanthidium rosenstockii,,Achnanthidium rosenstockii (Lange-Bertalot) Lange-Bertalot,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium rosenstockii,,,,,,,
ACHSUB,ALGAE,True,145756,Achnanthidium subhudsonis,,Achnanthidium subhudsonis (Hustedt) H.Kobayasi,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium subhudsonis,,,,,,,
ACHSUB1,ALGAE,True,149618,Achnanthidium subhudsonis var. kraeueselii,,Achnanthidium subhudsonis var. kraeueselii (Cholnoky) Cantonati & Lange-Bertalot,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium subhudsonis,,Achnanthidium subhudsonis var. kraeueselii,,,,,
ACHSUB2,ALGAE,True,145755,Achnanthidium subatomoides,,"Achnanthidium subatomoides (Hustedt) O. Monnier, Lange-Bertalot & Ector",Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthidiaceae,,,,Achnanthidium,,,,Achnanthidium subatomoides,,,,,,,
ACRSP,ALGAE,True,121263,Acrochaetiales,Subgenus,Acrochaetiales sp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Acrochaetiales,,,,,,,,,,,,,,,,,,
ACRSP1,ALGAE,True,131734,Acrochaetiaceae,Class,Acrochaetiaceae sp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,,,,,,,,,,,,
ACRSPP,ALGAE,True,121263,Acrochaetiales,Subgenus,Acrochaetiales spp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Acrochaetiales,,,,,,,,,,,,,,,,,,
ACRSPP1,ALGAE,True,131734,Acrochaetiaceae,Class,Acrochaetiaceae spp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,,,,,,,,,,,,
ACTINASTRUMSP,ALGAE,True,127354,Actinastrum,,Actinastrum sp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Scenedesmaceae,,,,Actinastrum,,,,,,,,,,,
ACTINASTRUMSPP,ALGAE,True,127354,Actinastrum,,Actinastrum spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Scenedesmaceae,,,,Actinastrum,,,,,,,,,,,
ACTINELLASP,ALGAE,True,150246,Actinella,,Actinella sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Eunotiales,,,Eunotiaceae,,,,Actinella,,,,,,,,,,,
ACTINELLASPP,ALGAE,True,150246,Actinella,,Actinella spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Eunotiales,,,Eunotiaceae,,,,Actinella,,,,,,,,,,,
ACTINOCYCLUSSPP,ALGAE,True,124813,Actinocyclus,,Actinocyclus spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Hemidiscaceae,,,,Actinocyclus,,,,,,,,,,,
ACTINOPTYCHUSSP,ALGAE,True,127068,Actinoptychus,,Actinoptychus sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Heliopeltaceae,,,,Actinoptychus,,,,,,,,,,,
ACTINOPTYCHUSSPP,ALGAE,True,127068,Actinoptychus,,Actinoptychus spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Heliopeltaceae,,,,Actinoptychus,,,,,,,,,,,
ACTINOTAENIUMSPP,ALGAE,True,127355,Actinotaenium,,Actinotaenium spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Actinotaenium,,,,,,,,,,,
ADLAFIASPP,ALGAE,True,127069,Adlafia,,Adlafia spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculaceae,,,,Adlafia,,,,,,,,,,,
ADLNEO,ALGAE,True,145773,Adlafia neoniana,,Adlafia neoniana Cantonati,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculaceae,,,,Adlafia,,,,Adlafia neoniana,,,,,,,
AMPCUN,ALGAE,True,145852,Amphora cuneatiformis,,Amphora cuneatiformis Levkov & Kristic,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Catenulaceae,,,,Amphora,,,,Amphora cuneatiformis,,,,,,,
AMPHIPLEURASPP,ALGAE,True,127070,Amphipleura,,Amphipleura spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Amphipleuraceae,,,,Amphipleura,,,,,,,,,,,
AMPHIPLEURFSP,ALGAE,True,124814,Amphipleuraceae,Class,Amphipleuraceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Amphipleuraceae,,,,,,,,,,,,,,,
AMPHIPLEURFSPP,ALGAE,True,124814,Amphipleuraceae,Class,Amphipleuraceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Amphipleuraceae,,,,,,,,,,,,,,,
AMPHORASPP,ALGAE,True,127313,Amphora,,Amphora spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Catenulaceae,,,,Amphora,,,,,,,,,,,
AMPLIB,ALGAE,True,145853,Amphora libyca,,Amphora libyca Ehrenberg,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Catenulaceae,,,,Amphora,,,,Amphora libyca,,,,,,,
AMPLIB1,ALGAE,True,145854,Amphora libyca f. major,,Amphora libyca f. major Frenguelli,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Catenulaceae,,,,Amphora,,,,Amphora libyca,,,,Amphora libyca f. major,,,
AMPLIN,ALGAE,True,145848,Amphipleura lindheimeri,,Amphipleura lindheimeri Grunow,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Amphipleuraceae,,,,Amphipleura,,,,Amphipleura lindheimeri,,,,,,,
ANABAENASPP,ALGAE,True,121015,Anabaena,,Anabaena spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Nostocales,,,Nostocaceae,,,,Anabaena,,,,,,,,,,,
ANABAENOPSISSPP,ALGAE,True,126930,Anabaenopsis,,Anabaenopsis spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Nostocales,,,Nostocaceae,,,,Anabaenopsis,,,,,,,,,,,
ANEROS,ALGAE,True,145879,Aneumastus rostratus,,Aneumastus rostratus (Hustedt) Lange-Bertalot,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Mastogloiaceae,,,,Aneumastus,,,,Aneumastus rostratus,,,,,,,
ANEUMASTUSSPP,ALGAE,True,127071,Aneumastus,,Aneumastus spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Mastogloiaceae,,,,Aneumastus,,,,,,,,,,,
ANKCON,ALGAE,True,139913,Ankistrodesmus convolutus,,Ankistrodesmus convolutus Corda,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorellales,,,Chlorellaceae,,,,Ankistrodesmus,,,,Ankistrodesmus convolutus,,,,,,,
ANKISTRODEGSPP,ALGAE,True,127356,Ankistrodesmus,,Ankistrodesmus spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorellales,,,Chlorellaceae,,,,Ankistrodesmus,,,,,,,,,,,
ANKSP,ALGAE,True,131989,Ankyra,,Ankyra sp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Characiaceae,,,,Ankyra,,,,,,,,,,,
ANKSPP,ALGAE,True,131989,Ankyra,,Ankyra spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Characiaceae,,,,Ankyra,,,,,,,,,,,
ANOMOEONEIFSP,ALGAE,True,124816,Anomoeoneidaceae,Class,Anomoeoneidaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Anomoeoneidaceae,,,,,,,,,,,,,,,
ANOMOEONEIFSPP,ALGAE,True,124816,Anomoeoneidaceae,Class,Anomoeoneidaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Anomoeoneidaceae,,,,,,,,,,,,,,,
ANOMOEONEISSPP,ALGAE,True,127072,Anomoeoneis,,Anomoeoneis spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Anomoeoneidaceae,,,,Anomoeoneis,,,,,,,,,,,
ANORTHONEISSPP,ALGAE,True,127073,Anorthoneis,,Anorthoneis spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Cocconeidaceae,,,,Anorthoneis,,,,,,,,,,,
APHANIZOMENONSPP,ALGAE,True,121030,Aphanizomenon,,Aphanizomenon spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Nostocales,,,Aphanizomenonaceae,,,,Aphanizomenon,,,,,,,,,,,
APHANOCAPSASPP,ALGAE,True,126932,Aphanocapsa,,Aphanocapsa spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Synechococcales,,,Merismopediaceae,,,,Aphanocapsa,,,,,,,,,,,
APHANOCHAETESPP,ALGAE,True,127357,Aphanochaete,,Aphanochaete spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chaetophorales,,,Chaetophoraceae,,,,Aphanochaete,,,,,,,,,,,
APHANOTHECESPP,ALGAE,True,126933,Aphanothece,,Aphanothece spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Synechococcales,,,Synechococcaceae,,,,Aphanothece,,,,,,,,,,,
APHMIN,ALGAE,True,145921,Aphanothece minutissima,,Aphanothece minutissima (West) J.Komárková-Legnerová & G.Cronberg,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Synechococcales,,,Synechococcaceae,,,,Aphanothece,,,,Aphanothece minutissima,,,,,,,
APHSP,ALGAE,True,150230,Aphanothecaceae,Class,Aphanothecaceae sp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,Oscillatoriophycideae,Chroococcales,,,Aphanothecaceae,,,,,,,,,,,,,,,
APHSPP,ALGAE,True,150230,Aphanothecaceae,Class,Aphanothecaceae spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,Oscillatoriophycideae,Chroococcales,,,Aphanothecaceae,,,,,,,,,,,,,,,
ARTHROSPIRASPP,ALGAE,True,121046,Arthrospira,,Arthrospira spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Oscillatoriales,,,Phormidiaceae,,,,Arthrospira,,,,,,,,,,,
ARTSP,ALGAE,True,131733,Arthrodesmus,,Arthrodesmus sp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Arthrodesmus,,,,,,,,,,,
ARTSPP,ALGAE,True,131733,Arthrodesmus,,Arthrodesmus spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Arthrodesmus,,,,,,,,,,,
ASPHAEROSPORUM,ALGAE,True,124119,Cosmarium asphaerosporum,,Cosmarium asphaerosporum,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Cosmarium,,,,Cosmarium asphaerosporum,,,,,,,
ASTARTIELLASP,ALGAE,True,127074,Astartiella,,Astartiella sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculaceae,,,,Astartiella,,,,,,,,,,,
ASTARTIELLASPP,ALGAE,True,127074,Astartiella,,Astartiella spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculaceae,,,,Astartiella,,,,,,,,,,,
ASTERIONELLASPP,ALGAE,True,125013,Asterionella,,Asterionella spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Fragilariaceae,,,,Asterionella,,,,,,,,,,,
ASTLIM,ALGAE,True,146105,Asterococcus limneticus,,Asterococcus limneticus G.M.Smith,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlamydomonadales,,,Palmellopsidaceae,,,,Asterococcus,,,,Asterococcus limneticus,,,,,,,
ASTSP,ALGAE,True,132543,Asterococcus,,Asterococcus sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,Sternorrhyncha,,Cerococcidae,,,,Asterococcus,,,,,,,,,,,
ASTSPP,ALGAE,True,132543,Asterococcus,,Asterococcus spp.,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,Sternorrhyncha,,Cerococcidae,,,,Asterococcus,,,,,,,,,,,
AUDHER,ALGAE,True,139943,Audouinella hermannii,,Audouinella hermannii (Roth) Duby,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,Audouinella,,,,Audouinella hermannii,,,,,,,
AUDPYG,ALGAE,True,146149,Audouinella pygmaea,,Audouinella pygmaea (Kützing) Weber Bosse,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,Audouinella,,,,Audouinella pygmaea,,,,,,,
AUDSP,ALGAE,True,131735,Audouinella,,Audouinella sp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,Audouinella,,,,,,,,,,,
AUDSPP,ALGAE,True,131735,Audouinella,,Audouinella spp.,Organism,Plantae,,Rhodophyta,,,Florideophyceae,,Nemaliales,,,Acrochaetiaceae,,,,Audouinella,,,,,,,,,,,
AULACOSEIRASPP,ALGAE,True,127075,Aulacoseira,,Aulacoseira spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Aulacoseiraceae,,,,Aulacoseira,,,,,,,,,,,
AULACOSEIRFSP,ALGAE,True,124818,Aulacoseiraceae,Class,Aulacoseiraceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Aulacoseiraceae,,,,,,,,,,,,,,,
AULACOSEIRFSPP,ALGAE,True,124818,Aulacoseiraceae,Class,Aulacoseiraceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Aulacoseiraceae,,,,,,,,,,,,,,,
AULCRE,ALGAE,True,146152,Aulacoseira crenulata,,Aulacoseira crenulata (Ehrenberg) Thwaites,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Aulacoseiraceae,,,,Aulacoseira,,,,Aulacoseira crenulata,,,,,,,
BACILLARIACEAESP,ALGAE,True,130703,Bacillariaceae,Class,Bacillariaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,Bacillariophycidae,Bacillariales,,,Bacillariaceae,,,,,,,,,,,,,,,
BACILLARIAFSPP,ALGAE,True,130703,Bacillariaceae,Class,Bacillariaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,Bacillariophycidae,Bacillariales,,,Bacillariaceae,,,,,,,,,,,,,,,
BACILLARIASP,ALGAE,True,127076,Bacillaria,,Bacillaria sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,Bacillariophycidae,Bacillariales,,,Bacillariaceae,,,,Bacillaria,,,,,,,,,,,
BACILLARIASPP,ALGAE,True,127076,Bacillaria,,Bacillaria spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,Bacillariophycidae,Bacillariales,,,Bacillariaceae,,,,Bacillaria,,,,,,,,,,,
BACILLARIOCSP,ALGAE,True,10399,Bacillariophyceae,Tribe,Bacillariophyceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,,,,,,,,,,,,,,,,,,,
BACILLARIOCSPP,ALGAE,True,10399,Bacillariophyceae,Tribe,Bacillariophyceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,,,,,,,,,,,,,,,,,,,
BACSP,ALGAE,True,131997,Bacularia,,Bacularia sp.,Organism,Plantae,,Tracheophyta,,,Liliopsida,,Arecales,,,Arecaceae,,,,Bacularia,,,,,,,,,,,
BACSPP,ALGAE,True,131997,Bacularia,,Bacularia spp.,Organism,Plantae,,Tracheophyta,,,Liliopsida,,Arecales,,,Arecaceae,,,,Bacularia,,,,,,,,,,,
BAMBUSINASPP,ALGAE,True,127358,Bambusina,,Bambusina spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Desmidiales,,,Desmidiaceae,,,,Bambusina,,,,,,,,,,,
BANGIACEAESP,ALGAE,True,113214,Bangiaceae,Class,Bangiaceae sp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Bangiales,,,Bangiaceae,,,,,,,,,,,,,,,
BANGIACEAESPP,ALGAE,True,113214,Bangiaceae,Class,Bangiaceae spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Bangiales,,,Bangiaceae,,,,,,,,,,,,,,,
BANGIALESSP,ALGAE,True,113213,Bangiales,Subgenus,Bangiales sp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Bangiales,,,,,,,,,,,,,,,,,,
BANGIALESSPP,ALGAE,True,113213,Bangiales,Subgenus,Bangiales spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Bangiales,,,,,,,,,,,,,,,,,,
BANGIASPP,ALGAE,True,127359,Bangia,,Bangia spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Bangiales,,,Bangiaceae,,,,Bangia,,,,,,,,,,,
BATRACHOSPFSP,ALGAE,True,113250,Batrachospermaceae,Class,Batrachospermaceae sp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Batrachospermales,,,Batrachospermaceae,,,,,,,,,,,,,,,
BATRACHOSPFSPP,ALGAE,True,113250,Batrachospermaceae,Class,Batrachospermaceae spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Batrachospermales,,,Batrachospermaceae,,,,,,,,,,,,,,,
BATRACHOSPGSPP,ALGAE,True,121521,Batrachospermum,,Batrachospermum spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Batrachospermales,,,Batrachospermaceae,,,,Batrachospermum,,,,,,,,,,,
BATRACHOSPOSP,ALGAE,True,113251,Batrachospermales,Subgenus,Batrachospermales sp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Batrachospermales,,,,,,,,,,,,,,,,,,
BATRACHOSPOSPP,ALGAE,True,113251,Batrachospermales,Subgenus,Batrachospermales spp.,Organism,Plantae,,Rhodophyta,,,Rhodophyceae,,Batrachospermales,,,,,,,,,,,,,,,,,,
BERKELEYACEAESP,ALGAE,True,124821,Berkeleyaceae,Class,Berkeleyaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Berkeleyaceae,,,,,,,,,,,,,,,
BERKELEYACEAESPP,ALGAE,True,124821,Berkeleyaceae,Class,Berkeleyaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Berkeleyaceae,,,,,,,,,,,,,,,
BERKELEYASP,ALGAE,True,127077,Berkeleya,,Berkeleya sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthaceae,,,,Berkeleya,,,,,,,,,,,
BERKELEYASPP,ALGAE,True,127077,Berkeleya,,Berkeleya spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Achnanthaceae,,,,Berkeleya,,,,,,,,,,,
BIDDULPHIACEAESP,ALGAE,True,124823,Biddulphiaceae,Class,Biddulphiaceae sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Biddulphiaceae,,,,,,,,,,,,,,,
BIDDULPHIAFSPP,ALGAE,True,124823,Biddulphiaceae,Class,Biddulphiaceae spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Biddulphiaceae,,,,,,,,,,,,,,,
BIDDULPHIASP,ALGAE,True,127078,Biddulphia,,Biddulphia sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Biddulphiaceae,,,,Biddulphia,,,,,,,,,,,
BIDDULPHIASPP,ALGAE,True,127078,Biddulphia,,Biddulphia spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Centrales,,,Biddulphiaceae,,,,Biddulphia,,,,,,,,,,,
BINUCLEARIASPP,ALGAE,True,127360,Binuclearia,,Binuclearia spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Ulotrichales,,,Ulotrichaceae,,,,Binuclearia,,,,,,,,,,,
BIREMISSP,ALGAE,True,127079,Biremis,,Biremis sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Scoliotropidaceae,,,,Biremis,,,,,,,,,,,
BIREMISSPP,ALGAE,True,127079,Biremis,,Biremis spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Pennales,,,Scoliotropidaceae,,,,Biremis,,,,,,,,,,,
BITCHO,ALGAE,True,146240,Bitrichia chodatii,,Bitrichia chodatii (Reverdin) Chodat,Organism,Plantae,,Chrysophyta,,,Chrysophyceae,,Hibberdiales,,,Stylococcaceae,,,,Bitrichia,,,,Bitrichia chodatii,,,,,,,
BITRICHIASPP,ALGAE,True,127336,Bitrichia,,Bitrichia spp.,Organism,Plantae,,Chrysophyta,,,Chrysophyceae,,Hibberdiales,,,Stylococcaceae,,,,Bitrichia,,,,,,,,,,,
BLASTODINIALESSP,ALGAE,True,124824,Blastodiniales,Subgenus,Blastodiniales sp.,Organism,Chromista,,Pyrrhophyta,,,Dinophyceae,,Blastodiniales,,,,,,,,,,,,,,,,,,
BLASTODINIOSPP,ALGAE,True,124824,Blastodiniales,Subgenus,Blastodiniales spp.,Organism,Chromista,,Pyrrhophyta,,,Dinophyceae,,Blastodiniales,,,,,,,,,,,,,,,,,,
BLENNOTHRIXSPP,ALGAE,True,126935,Blennothrix,,Blennothrix spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Oscillatoriales,,,Oscillatoriaceae,,,,Blennothrix,,,,,,,,,,,
BORHUS,ALGAE,True,130584,Boreozonacola hustedtii,,"Boreozonacola hustedtii Lange-Bertalot, Kulikovskiy & Witkowski",Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculales incertae sedis,,,,Boreozonacola,,,,Boreozonacola hustedtii,,,,,,,
BORSP,ALGAE,True,130583,Boreozonacola,,Boreozonacola sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculales incertae sedis,,,,Boreozonacola,,,,,,,,,,,
BORSPP,ALGAE,True,130583,Boreozonacola,,Boreozonacola spp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,Naviculales,,,Naviculales incertae sedis,,,,Boreozonacola,,,,,,,,,,,
BORZIACEAESP,ALGAE,True,121050,Borziaceae,Class,Borziaceae sp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Oscillatoriales,,,Borziaceae,,,,,,,,,,,,,,,
BORZIACEAESPP,ALGAE,True,121050,Borziaceae,Class,Borziaceae spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Oscillatoriales,,,Borziaceae,,,,,,,,,,,,,,,
BORZIASPP,ALGAE,True,126936,Borzia,,Borzia spp.,Organism,Bacteria,Gracilicutes,Cyanobacteria,,,Cyanophyceae,,Oscillatoriales,,,Borziaceae,,,,Borzia,,,,,,,,,,,
BOTRYOCOCCUSSP,ALGAE,True,127361,Botryococcus,,Botryococcus sp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Dictyosphaeriaceae,,,,Botryococcus,,,,,,,,,,,
BOTRYOCOCCUSSPP,ALGAE,True,127361,Botryococcus,,Botryococcus spp.,Organism,Plantae,,Chlorophyta,,,Chlorophyceae,,Chlorococcales,,,Dictyosphaeriaceae,,,,Botryococcus,,,,,,,,,,,
